# qpc_frequency=10000000
present_id,guest_frame,qpc
1,1,15416155276302
2,2,15416155310537
3,3,15416155606944
4,4,15416155773836
5,5,15416155939400
6,6,15416156107621
7,7,15416156276480
8,8,15416156439903
9,9,15416156607749
10,10,15416156775463
11,11,15416156942069
12,12,15416157108235
13,13,15416157275906
14,14,15416157442011
15,15,15416157608117
16,16,15416157774131
17,17,15416157942091
18,18,15416158109955
19,19,15416158273236
20,20,15416158440110
21,21,15416158609063
22,22,15416158776422
23,23,15416158945630
24,24,15416159108941
25,25,15416159274963
26,26,15416159442442
27,27,15416159607846
28,28,15416159777874
29,29,15416159940179
30,30,15416160111953
31,31,15416160274670
32,32,15416160439840
33,33,15416160608691
34,34,15416160775363
35,35,15416160943720
36,36,15416161106798
37,37,15416161274111
38,38,15416161442458
39,39,15416161607074
40,40,15416161773563
41,41,15416161940783
42,42,15416162107277
43,43,15416162273784
44,44,15416162438783
45,45,15416162609112
46,46,15416162772681
47,47,15416162938912
48,48,15416163105646
49,49,15416163275652
50,50,15416163440455
51,51,15416163605453
52,52,15416163772410
53,53,15416163943995
54,54,15416164106961
55,55,15416164273147
56,56,15416164439339
57,57,15416164606790
58,58,15416164774717
59,59,15416164940984
60,60,15416165108235
61,61,15416165273623
62,62,15416165440869
63,63,15416165607488
64,64,15416165772927
65,65,15416165940730
66,66,15416166108410
67,67,15416166275501
68,68,15416166441485
69,69,15416166609961
70,70,15416166777547
71,71,15416166941971
72,72,15416167109655
73,73,15416167274854
74,74,15416167442037
75,75,15416167610312
76,76,15416167775350
77,77,15416167942564
78,78,15416168109666
79,79,15416168273793
80,80,15416168441008
81,81,15416168608786
82,82,15416168774433
83,83,15416168941738
84,84,15416169107802
85,85,15416169277165
86,86,15416169439334
87,87,15416169606302
88,88,15416169774676
89,89,15416169939975
90,90,15416170107272
91,91,15416170274535
92,92,15416170438272
93,93,15416170606755
94,94,15416170774314
95,95,15416170940034
96,96,15416171106356
97,97,15416171274505
98,98,15416171441951
99,99,15416171608334
100,100,15416171774248
101,101,15416171942675
102,102,15416172110991
103,103,15416172275235
104,104,15416172443572
105,105,15416172607971
106,106,15416172776821
107,107,15416172941918
108,108,15416173108372
109,109,15416173274310
110,110,15416173440677
111,111,15416173607576
112,112,15416173773274
113,113,15416173943858
114,114,15416174108105
115,115,15416174273406
116,116,15416174439688
117,117,15416174607190
118,118,15416174773136
119,119,15416174939242
120,120,15416175104896
121,121,15416175273630
122,122,15416175440295
123,123,15416175606590
124,124,15416175772602
125,125,15416175938875
126,126,15416176106229
127,127,15416176273616
128,128,15416176440256
129,129,15416176606417
130,130,15416176774759
131,131,15416176940066
132,132,15416177107248
133,133,15416177273062
134,134,15416177438646
135,135,15416177607780
136,136,15416177775776
137,137,15416177940431
138,138,15416178108838
139,139,15416178272198
140,140,15416178441717
141,141,15416178607964
142,142,15416178775291
143,143,15416178941916
144,144,15416179108848
145,145,15416179276321
146,146,15416179442059
147,147,15416179607279
148,148,15416179773900
