# qpc_frequency=10000000
present_id,guest_frame,qpc
1,1,15421647223505
2,2,15421647270006
3,3,15421647402709
4,4,15421647575246
5,5,15421647735252
6,6,15421647901305
7,7,15421648068113
8,8,15421648233644
9,9,15421648401684
10,10,15421648567514
11,11,15421648734238
12,12,15421648901096
13,13,15421649068028
14,14,15421649236165
15,15,15421649401656
16,16,15421649568816
17,17,15421649737988
18,18,15421649901646
19,19,15421650068048
20,20,15421650236289
21,21,15421650402170
22,22,15421650568273
23,23,15421650734271
24,24,15421650903625
25,25,15421651068161
26,26,15421651234494
27,27,15421651401407
28,28,15421651567681
29,29,15421651734489
30,30,15421651900978
31,31,15421652068252
32,32,15421652235070
33,33,15421652402427
34,34,15421652567718
35,35,15421652737882
36,36,15421652900898
37,37,15421653068716
38,38,15421653234608
39,39,15421653401828
40,40,15421653568934
41,41,15421653734408
42,42,15421653901615
43,43,15421654067734
44,44,15421654234798
45,45,15421654401356
46,46,15421654568546
47,47,15421654734628
48,48,15421654907835
49,49,15421655068279
50,50,15421655235045
51,51,15421655402729
52,52,15421655568628
53,53,15421655735424
54,54,15421655903317
55,55,15421656069011
56,56,15421656234748
57,57,15421656403766
58,58,15421656568525
59,59,15421656734668
60,60,15421656900194
61,61,15421657068073
62,62,15421657234539
63,63,15421657401772
64,64,15421657568136
65,65,15421657734678
66,66,15421657900604
67,67,15421658069020
68,68,15421658234941
69,69,15421658402578
70,70,15421658569068
71,71,15421658735352
72,72,15421658902092
73,73,15421659068822
74,74,15421659235889
75,75,15421659402608
76,76,15421659569650
77,77,15421659735561
78,78,15421659902594
79,79,15421660069937
80,80,15421660235760
81,81,15421660401560
82,82,15421660568311
83,83,15421660735341
84,84,15421660903793
85,85,15421661069811
86,86,15421661234261
87,87,15421661403169
88,88,15421661568393
89,89,15421661734862
90,90,15421661900631
91,91,15421662070255
92,92,15421662235709
93,93,15421662404060
94,94,15421662569676
95,95,15421662736354
96,96,15421662901631
97,97,15421663068981
98,98,15421663235953
99,99,15421663402719
100,100,15421663571141
101,101,15421663735849
102,102,15421663902327
103,103,15421664068630
104,104,15421664235722
105,105,15421664401996
106,106,15421664569245
107,107,15421664735963
108,108,15421664902263
109,109,15421665068711
110,110,15421665234697
111,111,15421665403990
112,112,15421665568211
113,113,15421665735474
114,114,15421665902236
115,115,15421666068777
116,116,15421666235674
117,117,15421666403188
118,118,15421666569089
119,119,15421666736248
120,120,15421666903753
121,121,15421667093253
122,122,15421667236602
123,123,15421667403822
124,124,15421667571558
125,125,15421667736248
126,126,15421667902177
127,127,15421668068937
128,128,15421668235723
129,129,15421668403248
130,130,15421668569847
131,131,15421668736695
132,132,15421668902843
133,133,15421669070866
134,134,15421669236399
135,135,15421669402216
136,136,15421669570959
137,137,15421669737239
138,138,15421669903146
139,139,15421670070703
140,140,15421670347529
141,141,15421670402489
142,142,15421670575740
143,143,15421670736351
144,144,15421670902910
145,145,15421671069948
146,146,15421671236158
147,147,15421671403159
148,148,15421671575745
149,149,15421671737523
150,150,15421671904712
151,151,15421672072233
152,152,15421672240782
153,153,15421672403893
154,154,15421672571923
155,155,15421672736895
156,156,15421672904170
157,157,15421673070731
158,158,15421673237999
159,159,15421673403633
160,160,15421673572833
161,161,15421673737225
162,162,15421673903472
163,163,15421674069822
164,164,15421674237074
165,165,15421674403396
166,166,15421674572925
167,167,15421674737022
168,168,15421674904506
169,169,15421675070125
170,170,15421675237756
171,171,15421675404051
172,172,15421675575364
173,173,15421675739677
174,174,15421675905112
175,175,15421676072587
176,176,15421676238823
177,177,15421676407269
178,178,15421676579572
179,179,15421676737782
180,180,15421676905068
181,181,15421677071558
182,182,15421677237044
183,183,15421677405454
184,184,15421677572692
185,185,15421677738110
186,186,15421677905080
187,187,15421678073105
188,188,15421678245706
189,189,15421678429880
190,190,15421678582899
191,191,15421678738637
192,192,15421678904545
193,193,15421679071969
194,194,15421679238222
195,195,15421679404875
196,196,15421679574220
197,197,15421679747339
198,198,15421679904449
199,199,15421680070833
200,200,15421680238816
201,201,15421680407107
202,202,15421680572785
203,203,15421680747186
204,204,15421680905636
205,205,15421681071170
206,206,15421681237563
207,207,15421681405765
208,208,15421681573226
209,209,15421681738535
210,210,15421681905438
211,211,15421682073479
212,212,15421682238770
213,213,15421682405064
214,214,15421682572011
215,215,15421682739498
216,216,15421682920298
217,217,15421683075451
