# qpc_frequency=10000000
present_id,guest_frame,qpc
1,1,15418148870009
2,2,15418148905884
3,3,15418149108568
4,4,15418149273444
5,5,15418149439784
6,6,15418149607081
7,7,15418149778071
8,8,15418149946852
9,9,15418150107037
10,10,15418150274920
11,11,15418150441422
12,12,15418150607126
13,13,15418150774059
14,14,15418150940975
15,15,15418151107019
16,16,15418151274732
17,17,15418151442543
18,18,15418151606312
19,19,15418151773559
20,20,15418151943403
21,21,15418152108855
22,22,15418152276405
23,23,15418152443819
24,24,15418152607611
25,25,15418152774133
26,26,15418152940428
27,27,15418153107652
28,28,15418153276562
29,29,15418153440916
30,30,15418153607632
31,31,15418153775116
32,32,15418153941475
33,33,15418154109239
34,34,15418154275764
35,35,15418154442592
36,36,15418154608307
37,37,15418154775110
38,38,15418154943193
39,39,15418155108815
40,40,15418155277508
41,41,15418155441720
42,42,15418155609030
43,43,15418155775540
44,44,15418155941669
45,45,15418156108938
46,46,15418156274420
47,47,15418156441770
48,48,15418156607115
49,49,15418156773956
50,50,15418156940406
51,51,15418157107785
52,52,15418157273181
53,53,15418157441248
54,54,15418157607776
55,55,15418157773922
56,56,15418157940057
57,57,15418158106454
58,58,15418158275294
59,59,15418158447229
60,60,15418158610359
61,61,15418158776011
62,62,15418158940790
63,63,15418159106309
64,64,15418159273729
65,65,15418159440364
66,66,15418159607252
67,67,15418159773441
68,68,15418159943149
69,69,15418160108243
70,70,15418160273926
71,71,15418160440932
72,72,15418160605905
73,73,15418160773880
74,74,15418160940580
75,75,15418161108835
76,76,15418161273725
77,77,15418161442418
78,78,15418161606177
79,79,15418161774272
80,80,15418161940612
81,81,15418162107761
82,82,15418162274816
83,83,15418162443015
84,84,15418162608552
85,85,15418162774304
86,86,15418162940971
87,87,15418163108179
88,88,15418163274934
89,89,15418163440495
90,90,15418163608291
91,91,15418163774838
92,92,15418163946847
93,93,15418164107852
94,94,15418164276141
95,95,15418164446131
96,96,15418164613078
97,97,15418164774536
98,98,15418164941656
99,99,15418165106867
100,100,15418165279657
101,101,15418165445954
102,102,15418165608309
103,103,15418165775073
104,104,15418165940593
105,105,15418166109103
106,106,15418166279621
107,107,15418166443249
108,108,15418166608848
109,109,15418166774834
110,110,15418166940904
111,111,15418167107175
112,112,15418167275329
113,113,15418167441432
114,114,15418167614833
115,115,15418167774426
116,116,15418167941950
117,117,15418168108157
118,118,15418168274545
119,119,15418168442187
120,120,15418168610450
121,121,15418168776618
122,122,15418168941319
123,123,15418169106543
124,124,15418169274962
125,125,15418169440747
126,126,15418169607502
127,127,15418169775562
128,128,15418169941613
129,129,15418170109704
130,130,15418170275853
131,131,15418170463999
132,132,15418170610499
133,133,15418170775787
134,134,15418170941910
135,135,15418171116888
136,136,15418171274081
137,137,15418171442231
138,138,15418171609127
139,139,15418171776586
140,140,15418171943949
141,141,15418172108811
142,142,15418172276246
143,143,15418172456827
144,144,15418172613797
145,145,15418172776660
146,146,15418172943257
147,147,15418173110283
148,148,15418173276642
149,149,15418173464537
150,150,15418173611561
151,151,15418173775876
152,152,15418173942823
153,153,15418174110073
154,154,15418174276753
155,155,15418174443005
156,156,15418174609110
157,157,15418174776646
158,158,15418174943061
159,159,15418175109964
160,160,15418175277325
161,161,15418175443026
162,162,15418175620402
163,163,15418175779534
164,164,15418175941924
165,165,15418176109864
166,166,15418176275037
167,167,15418176444478
168,168,15418176609279
169,169,15418176775380
170,170,15418176942174
171,171,15418177109533
172,172,15418177279506
173,173,15418177442938
174,174,15418177610721
175,175,15418177775725
176,176,15418177945259
177,177,15418178109086
178,178,15418178276751
179,179,15418178442818
180,180,15418178609183
181,181,15418178776105
182,182,15418178942962
183,183,15418179108909
184,184,15418179291145
185,185,15418179444602
186,186,15418179608972
187,187,15418179777776
188,188,15418179943339
189,189,15418180114025
190,190,15418180276449
191,191,15418180442423
192,192,15418180609675
193,193,15418180777341
194,194,15418180943958
195,195,15418181111015
196,196,15418181276342
197,197,15418181444702
198,198,15418181609865
199,199,15418181777576
200,200,15418181945553
201,201,15418182110356
202,202,15418182278699
203,203,15418182444511
204,204,15418182610713
205,205,15418182776678
206,206,15418182943711
207,207,15418183118349
208,208,15418183276885
209,209,15418183444032
210,210,15418183610125
211,211,15418183776680
212,212,15418183943036
213,213,15418184109886
214,214,15418184277769
215,215,15418184443180
216,216,15418184610983
217,217,15418184777800
218,218,15418184944434
219,219,15418185109666
220,220,15418185277642
221,221,15418185442895
222,222,15418185609333
223,223,15418185776459
224,224,15418185941137
225,225,15418186110127
226,226,15418186276760
227,227,15418186443480
228,228,15418186610245
229,229,15418186776082
230,230,15418186942886
231,231,15418187108610
232,232,15418187278756
233,233,15418187444091
234,234,15418187610215
235,235,15418187776139
236,236,15418187942669
237,237,15418188108110
238,238,15418188277495
239,239,15418188442332
240,240,15418188610316
241,241,15418188775118
242,242,15418188943849
243,243,15418189110645
244,244,15418189277481
245,245,15418189442475
246,246,15418189609474
247,247,15418189779208
248,248,15418189943987
249,249,15418190110371
250,250,15418190276624
251,251,15418190442609
252,252,15418190608534
253,253,15418190776846
254,254,15418190941976
255,255,15418191109985
256,256,15418191277444
257,257,15418191443199
258,258,15418191609914
259,259,15418191776565
260,260,15418191943171
261,261,15418192109678
262,262,15418192282539
